14-Jun-2018-00:08:56.159 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:13:00.960 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:14:56.037 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:15:37.746 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:16:58.819 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:17:56.620 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:19:53.241 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:22:09.653 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:22:38.183 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:23:00.681 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:24:32.956 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:24:40.408 | FAILED | dsf | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
14-Jun-2018-23:24:43.398 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
15-Jun-2018-00:05:43.060 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
15-Jun-2018-00:57:47.790 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
15-Jun-2018-02:52:25.718 | SUCCESS | anonym |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.anonym.AnonymSecurityModule
15-Jun-2018-12:21:22.580 | SUCCESS | anonym |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.anonym.AnonymSecurityModule
15-Jun-2018-19:38:19.268 | SUCCESS | anonym |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.anonym.AnonymSecurityModule
15-Jun-2018-20:04:52.874 | SUCCESS | anonym |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.anonym.AnonymSecurityModule
